"COMID","logDA_km2","logRT_total_hz_s","logq_hz_total_m_s","pred_DOC","tn_conc_mg_l","pred_DO","StreamOrde","totco2g_per_km","totco2g_per_m2","logtotco2_ang_per_m2","logtotco2_o2g_per_m2","logtotco2g_per_m2","logtotco2g_per_km","ID"
24126487,2.4043884220584,4.47047044769357,-3.13575663888136,2.49667893,0.2520690258,10.663534067083,4,1268558712.8,93190.272296863,3.28852628470446,4.96021875177635,4.96937058072003,9.10331057250767,"RC3_01"
24126509,2.20827308848254,5.13672349077735,-3.7580160800895,2.403777402,0.2317646171,10.7232276902925,4,215384187.617261,20068.123237072,2.57592674543388,4.29427842425508,4.30250675933877,8.33321381649845,"RC3_02"
24126427,1.83478172381361,5.30649300348379,-4.29097790851007,2.830668368,0.3462334529,10.4521091022002,3,46846295.8287596,6863.88356657763,2.32736308247088,3.8229118605726,3.83656990787944,7.67067525659565,"RC3_03"
24125883,2.13068685110615,4.99889321864783,-3.50655572571933,1.929969861,0.0997015931,10.8922546875392,4,290999535.952297,29786.9319595782,2.46145389699193,4.46978611818481,4.4740257733848,8.46389229643087,"S13R"
24125945,2.13767749601465,5.15937978530697,-3.56243819061752,2.049148437,0.0978763195,11.116978990835,4,279188872.434018,28336.8638675706,2.47802303882698,4.44771977353189,4.45235178379519,8.44589810472187,"S14"
24126041,1.21383638832527,4.70799486636124,-3.90530725517492,1.949516654,0.1075666106,11.1078921434478,2,32101197.3376927,9983.31132294579,2.00615605678719,3.99483974032427,3.9992746145098,7.50652123139101,"S15"
24125999,1.98289508307244,4.45546205180107,-2.93382355988012,2.115429322,0.1101950099,10.9999576462473,3,838012713.720317,102607.718374325,3.08093133396108,5.00605025960375,5.01118003057405,8.92325060748075,"S17R"
24125873,2.46822411511246,4.65474614658234,-2.83316857866411,1.976169231,0.0989385325,10.9871302682016,5,1585846844.62151,107824.846958749,3.03496958789673,5.02833125066612,5.03271885040233,9.20026124240938,"S18R"
24125729,1.96948906524166,5.11035891326281,-3.62289086590609,1.967127927,0.1223453897,11.0144574543961,3,182952799.709724,22768.0198779984,2.390075587535,4.35261671628694,4.3573252619084,8.26233905984165,"S19"
24125633,2.39081380548626,5.11322373623273,-3.42290898538405,1.883323408,0.1291502507,10.9062482601799,4,478908429.32243,35764.9824992555,2.5633410914943,4.54899222613844,4.55345801686881,8.68025248117708,"S19E"
24125811,2.75718444851648,5.46800215130175,-3.26436693467675,2.090173698,0.1104052508,10.9235531803854,5,1082862060.05378,51871.0732313532,2.77611682406831,4.70989615996017,4.71492523379718,9.03457313772144,"S20R"
24126061,2.80843738192206,5.74788766933619,-3.28558640771288,2.200977272,0.1505003653,10.8699544375357,5,1516328468.84498,68260.0197700028,2.98063366199821,4.82803850629661,4.83416640972642,9.18079328886529,"S21R"
24125789,3.12384553467844,5.49772155748875,-3.10967322829685,2.174789065,0.1358527672,10.8574348878973,6,1740222191.08696,53450.3400887354,2.85128246693721,4.72214260126095,4.72795047284117,9.24060470242192,"S23"
24125859,2.63303485370296,4.61804053413013,-2.82356720133161,1.999577937,0.1026691216,10.9821576614142,5,1986331284.2661,110599.903327853,3.06065368257691,5.03921584625736,5.04375474736471,9.29805168269419,"S24R"
24125699,1.89057022949355,5.47134863846471,-4.02690167800552,1.892305646,0.0952775491,11.1294765799621,3,55776154.1875447,7637.94922833746,1.84919922984874,3.87894009437717,3.88297676716558,7.74644856599479,"S25"
24125769,3.1334897281223,5.58350365612671,-3.09367147804935,2.183469005,0.142072918,10.8296014661947,6,1776958318.56899,53944.4059495045,2.86457570707491,4.72601200651536,4.73194641489056,9.24967724084538,"S26R"
24126823,1.2143616194707,5.02745883738434,-4.18774716802645,1.695329358,0.0952825334,11.2202386825241,2,13485702.0413182,4191.31659816515,1.51946079589307,3.61891002933825,3.62235046723875,7.12987355996461,"S27R"
24125507,3.34727815062742,5.4670618179439,-3.05692635318409,2.115740263,0.1473416847,10.850383009674,6,2929409375.5913,68629.9035851203,2.94873457905231,4.83085317892183,4.83651338877149,9.46678006718757,"S28R"
24125507,3.34727815062742,5.4670618179439,-3.05692635318409,2.115740263,0.1473416847,10.850383009674,6,2929409375.5913,68629.9035851203,2.94873457905231,4.83085317892183,4.83651338877149,9.46678006718757,"S28RE"
24126251,2.34965802422317,5.25260755751032,-3.61844455187773,1.966628501,0.180685818,10.9445547102269,4,305153437.757626,23954.5352310768,2.45908752973808,4.37413839182831,4.37938774903942,8.48451826693806,"S29R"
23100398,2.40844230618293,5.1190273745984,-4.03917524434517,2.511826686,0.332505288,10.6104750723828,4,118925734.486267,8693.64557780089,2.28913928470612,3.92937023954677,3.93920193091545,8.07527584230634,"S30R"
23100338,2.42248346899364,5.0984284518637,-4.0534986692324,2.808743776,0.314286112,10.2040843925143,4,58422936.5303244,4198.73396843652,2.09505244792752,3.61004953716177,3.6231183586341,7.76658338226547,"S31"
23100328,2.8479410362796,5.91617962737702,-4.5526961942639,2.880546448,0.3379310277,10.3173540355629,5,40340982.3014019,1731.11254958174,1.74826742613579,3.22404133766995,3.23832530477504,7.6057464690598,"S32"
23100020,3.08117323102837,7.52269539519585,-5.80986447912297,2.897439075,0.578844687,9.93890772370234,5,2530634.28117783,81.8535245019286,0.472980990470436,1.89697785022423,1.91303738428289,6.40322938690357,"S36"
23100428,1.9871753957091,5.19197966850928,-4.28286927397682,2.044417809,0.2767266176,10.7443960208418,3,35695182.840617,4347.96385309856,1.78526243416222,3.63215078061743,3.63828592491171,7.55260961087698,"S37"
23105314,1.29662570715028,4.71516280928405,-4.43049008119915,2.661541121,0.3567119209,10.556116976271,2,16743694.2457232,4710.04752781285,2.0920973828024,3.66147430244131,3.6730252894989,7.22385128481178,"S38"
23100434,1.68183256085947,5.16898073627061,-4.41002049075688,1.778164317,0.2548910751,10.8641353979405,2,13292948.4166449,2344.37300721735,1.40895611933072,3.36525032295076,3.37002671233249,7.12362131947256,"S39"
24423233,2.88508919186439,5.55488490176228,-3.60626715410997,1.733706217,0.1352449667,11.194978453136,5,447231596.721311,18346.6568299941,2.2244646321721,4.2595695895325,4.2635569376582,8.65053247868195,"S49R"
24125037,3.74108220077343,7.07778020004552,-4.89526030655688,2.629772301,0.6726755202,10.3334719444112,6,51071270.2913632,742.362287197784,1.31066130479088,2.85848534038002,2.87061590114465,7.7081766601596,"S50"
24423233,2.88508919186439,5.55488490176228,-3.60626715410997,1.733706217,0.1352449667,11.194978453136,5,447231596.721311,18346.6568299941,2.2244646321721,4.2595695895325,4.2635569376582,8.65053247868195,"S51"
24423517,2.17741643914696,5.63130944846034,-4.2804796246337,2.628400078,0.2837251405,10.699199918283,4,67223936.1702128,6502.18734796438,2.19769479950371,3.80239993777331,3.8130594786967,7.8275239381685,"S55"
24423479,2.49107987138065,5.91952824629657,-4.60151844430197,2.971441865,0.6395825256,10.3496642369259,4,38305769.4113229,2533.32425722798,2.01540796633423,3.38555493373532,3.40369078162315,7.58326419002084,"S56"
23100404,2.26383648415035,5.00014186097476,-3.91817356755221,2.335023395,0.3042845159,10.702864921526,4,136145830.291971,11859.0345129785,2.34387755615005,4.06588940908281,4.07404933297816,8.13400434483927,"S63"
24125193,3.61437257300921,5.96458237195761,-3.74797734793694,2.443734659,0.3589549795,10.3961143761248,6,688651989.032901,11671.7933222441,2.3852919553916,4.05800705961752,4.06713758870346,8.83799980619586,"S67"
24126401,2.13967699804415,3.90323267836677,-3.39500373429751,3.019405316,0.4768733563,10.3694113488777,3,432576153.456221,43798.9539012455,3.24783556086556,4.62355437891713,4.64146373789355,8.63606257449321,"S68"
24126327,2.29938285430524,5.00643787507195,-3.51126148558758,1.984766814,0.1816481976,10.7310184862655,4,362994745.794393,30285.4556656851,2.56836721475779,4.47589357509217,4.48123411231016,8.55990033884047,"S71"
