"COMID","ID","CAT_HDENS90","TOT_HDENS90","CAT_EVI_AMJ_2012","TOT_EVI_AMJ_2012","CAT_EVI_JAS_2012","TOT_EVI_JAS_2012","CAT_EVI_JFM_2012","TOT_EVI_JFM_2012","CAT_EVI_OND_2011","TOT_EVI_OND_2011","WGW","WSW","site_ID"
24422913,9,0,0,0.24,-9999,0.28,0.26,0.22,0.17,0.25,0.21,143592.25,505979.06,"S01"
24422975,9,0,0,0.26,-9999,0.29,0.25,0.21,0.16,0.22,0.2,21666.74,76347.53,"S02"
24423897,9,0,0,0.3,-9999,0.34,0.29,0.29,0.24,0.31,0.26,1049.16,10689,"S03"
24423139,9,0,0,0.24,-9999,0.24,0.24,0.24,0.19,0.29,0.2,715.36,2520.73,"S04"
24422835,9,0,0,0.29,-9999,0.31,0.32,0.26,0.22,0.29,0.27,14200.08,59219.3,"S08"
24423157,9,0,0,0.27,-9999,0.27,0.24,0.28,0.19,0.27,0.19,96671.14,340642.15,"S10"
24423001,9,0,0,0.21,-9999,0.24,0.25,0.14,0.15,0.15,0.19,37155.36,130925.14,"S11"
24422871,9,0,0,0.24,-9999,0.3,0.29,0.2,0.17,0.23,0.22,30110.15,106099.77,"S12"
24125883,9,0,0,0.21,-9999,0.25,0.23,0.13,0.1,0.18,0.17,9916.95,101035.2,"S13"
24125945,9,0,0,0.18,-9999,0.26,0.24,0.17,0.12,0.23,0.18,17341.92,176681.78,"S14"
24126041,9,0,0,0.22,-9999,0.29,0.31,0.22,0.18,0.27,0.25,9491.66,96702.3,"S15"
24126011,9,0,0,0.23,-9999,0.3,0.27,0.21,0.14,0.24,0.2,4472.56,45567,"S16"
24125999,9,0,0,0.23,-9999,0.26,0.27,0.22,0.15,0.27,0.2,456.92,4655.17,"S17"
24125873,9,0,0,0.28,-9999,0.31,0.24,0.27,0.12,0.29,0.18,833,8486.74,"S18"
24126059,9,3.79,1.19,0.32,-9999,0.37,0.35,0.28,0.23,0.31,0.28,8994.32,91635.32,"S21"
24125769,9,2.3,2.14,0.3,-9999,0.3,0.31,0.17,0.2,0.21,0.25,1388.34,14144.57,"S22"
24125789,9,4.06,2.11,0.33,-9999,0.32,0.31,0.16,0.2,0.21,0.25,28828.21,293705.72,"S23"
24125857,9,0,0,0.22,-9999,0.24,0.25,0.16,0.13,0.2,0.19,3651.85,37205.59,"S24"
24126251,9,1.85,0.37,0.27,-9999,0.22,0.27,0.18,0.21,0.22,0.23,51983.57,529615.65,"S29"
23100392,9,0,0.05,0.18,-9999,0.12,0.22,0.12,0.19,0.13,0.2,88856.38,313105.09,"S30"
23100338,9,0,0,0.15,-9999,0.12,0.2,0.12,0.2,0.12,0.21,43095.02,151854.83,"S31"
23100328,9,0,0.02,0.14,-9999,0.11,0.19,0.12,0.18,0.12,0.19,16561.67,58358.7,"S32"
23099694,9,0.77,5.9,0.24,-9999,0.39,0.25,0.12,0.18,0.16,0.21,89734.32,316198.72,"S33"
23100242,9,0.55,0.02,0.25,-9999,0.35,0.17,0.12,0.16,0.16,0.17,32234.55,113585.58,"S34"
23099678,9,19.11,5.52,0.23,-9999,0.32,0.24,0.14,0.17,0.19,0.2,645709.9,2275301.65,"S35"
23100020,9,0.96,0.82,0.22,-9999,0.33,0.24,0.1,0.18,0.12,0.2,54670.84,192644.8,"S36"
23100428,9,0,0.17,0.27,-9999,0.27,0.3,0.18,0.24,0.19,0.25,41371.08,17894.47,"S37"
23105314,9,0,0,0.26,-9999,0.28,0.25,0.18,0.2,0.22,0.22,8225.63,2682.74,"S38"
23100434,9,0.28,0.26,0.3,-9999,0.31,0.33,0.21,0.27,0.22,0.28,34639.24,11297.37,"S39"
23100408,9,0,0,0.25,-9999,0.25,0.21,0.17,0.19,0.2,0.2,25129.69,76229.27,"S40"
23100176,9,0.08,0,0.18,-9999,0.12,0.28,0.13,0.25,0.12,0.26,17114.44,60306.53,"S41"
23103496,9,0,0,0.24,-9999,0.2,0.24,0.14,0.19,0.15,0.21,48124.21,169576.31,"S42"
23100162,9,3.42,0.24,0.24,-9999,0.21,0.27,0.12,0.23,0.15,0.25,241769.98,851930.01,"S43"
23100192,9,0,0,0.3,-9999,0.31,0.3,0.22,0.28,0.23,0.29,64219.81,226292.72,"S44"
24423421,9,0,0,0.27,-9999,0.28,0.25,0.24,0.19,0.21,0.2,136742.14,481841.17,"S45"
24423347,9,0,0,0.23,-9999,0.27,0.26,0.21,0.18,0.22,0.23,235223.36,828861.52,"S46"
24423359,9,0.24,0.07,0.25,-9999,0.29,0.25,0.21,0.18,0.24,0.19,37849.04,133369.48,"S47"
24423325,9,0.01,0,0.3,-9999,0.32,0.26,0.29,0.19,0.29,0.22,77833.33,274262.95,"S48"
24423655,9,0,0,0.2,-9999,0.15,0.26,0.13,0.22,0.16,0.24,16691.73,58817.01,"S49"
24125037,9,11.19,2.9,0.17,-9999,0.12,0.24,0.13,0.17,0.15,0.21,8844.45,31165.38,"S50"
24422713,9,0.47,0.05,0.21,-9999,0.14,0.27,0.11,0.2,0.13,0.23,33784.5,119047.16,"S50P"
24423233,9,2.1,0.13,0.22,-9999,0.18,0.25,0.12,0.2,0.17,0.21,90568.9,319139.57,"S51"
24423623,9,0,0.7,0.32,-9999,0.31,0.29,0.3,0.26,0.26,0.23,25828.83,91013.59,"S52"
24424869,9,0.01,0,0.28,-9999,0.28,0.27,0.24,0.24,0.25,0.24,14014.55,49383.37,"S53"
24423243,9,0,0.13,0.27,-9999,0.25,0.26,0.16,0.2,0.17,0.21,68468.62,241264.32,"S54"
24423517,9,2.5,0.64,0.21,-9999,0.16,0.22,0.12,0.18,0.17,0.21,102242.28,360273.28,"S55"
24423479,9,19.24,5.33,0.31,-9999,0.28,0.25,0.15,0.16,0.26,0.23,286219.85,1008558.95,"S56"
23099864,9,6.5,2.85,0.25,-9999,0.26,0.25,0.12,0.18,0.2,0.21,5657.85,19936.67,"S57"
24425515,9,11.72,0.4,0.37,-9999,0.38,0.26,0.17,0.2,0.32,0.22,32191.2,113432.8,"S58"
24422873,9,0,0,0.26,-9999,0.33,0.29,0.22,0.17,0.26,0.22,57499.77,202613.14,"S61"
24423847,9,0,0,0.23,-9999,0.29,0.29,0.17,0.17,0.22,0.22,43734.51,154108.2,"S62"
