FID,COMID,SLOPE,site_ID
0,24422913,0.017342680000000,S01
1,24422975,0.006514360000000,S02
2,24423897,0.027301760000000,S03
3,24423139,0.096095610000000,S04
4,24422835,0.014167970000000,S08
5,24423157,0.016954160000000,S10
6,24423001,0.016250000000000,S11
7,24422871,0.031129320000000,S12
8,24125883,0.022139600000000,S13
9,24125945,0.011143690000000,S14
10,24126041,0.086265760000000,S15
11,24126011,0.009040890000000,S16
12,24125999,0.012836410000000,S17
13,24125873,0.009561750000000,S18
14,24126059,0.003996680000000,S21
15,24125769,0.002538330000000,S22
16,24125789,0.002413040000000,S23
17,24125857,0.000010000000000,S24
18,24126251,0.018037920000000,S29
19,23100392,0.008734110000000,S30
20,23100338,0.011203570000000,S31
21,23100328,0.005169390000000,S32
22,23099694,0.000178850000000,S33
23,23100242,0.000810310000000,S34
24,23099678,0.000402880000000,S35
25,23100020,0.001716220000000,S36
26,23100428,0.019383030000000,S37
27,23105314,0.028608080000000,S38
28,23100434,0.027320070000000,S39
29,23100408,0.016541390000000,S40
30,23100176,0.014742330000000,S41
31,23103496,0.027272720000000,S42
32,23100162,0.005259700000000,S43
33,23100192,0.015040000000000,S44
34,24423421,0.015273040000000,S45
35,24423347,0.020418150000000,S46
36,24423359,0.007560820000000,S47
37,24423325,0.028284480000000,S48
38,24423655,0.038288470000000,S49
39,24125037,0.001071800000000,S50
40,24422713,0.002102380000000,S50P
41,24423233,0.009245900000000,S51
42,24423623,0.017779610000000,S52
43,24424869,0.074841190000000,S53
44,24423243,0.005160550000000,S54
45,24423517,0.019208510000000,S55
46,24423479,0.011023370000000,S56
47,23099864,0.003482420000000,S57
48,24425515,0.004752620000000,S58
49,24422873,0.032234720000000,S61
50,24423847,0.115896280000000,S62
51,23100404,0.018254250000000,S63
52,23100608,0.044933710000000,S63P
53,23100200,0.035441860000000,S64
54,24424705,0.128126020000000,S65
55,24423741,0.084356580000000,S66
56,23099678,0.000402880000000,T02
57,23099844,0.000847450000000,T03
58,24425579,0.006038940000000,T05
59,24422823,0.005563800000000,T05P
60,24422913,0.017342680000000,T06
61,947030105,0.001719430000000,T07
62,24425579,0.006038940000000,T41
63,24425579,0.006038940000000,T42
64,24125883,0.022139600000000,S13R
65,24125999,0.012836410000000,S17R
66,24125873,0.009561750000000,S18R
67,24125729,0.008708270000000,S19
68,24125633,0.008551400000000,S19E
69,24125811,0.004714660000000,S20R
70,24126061,0.001280390000000,S21R
71,24125859,0.008215410000000,S24R
72,24125699,0.016276300000000,S25
73,947030170,0.008635960000000,S26R
74,24126823,0.065771020000000,S27R
75,24131037,0.000010000000000,S28R
76,24131041,0.000010000000000,S28RE
77,24126251,0.018037920000000,S29R
78,23100398,0.011500500000000,S30R
79,24423233,0.009245900000000,S49R
80,24125193,0.001961610000000,S67
81,24126401,0.053778800000000,S68
82,24126327,0.017892520000000,S71
83,24126315,0.017396500000000,S72
84,24125421,0.002615620000000,S73
85,24131135,0.007957740000000,S75
86,24423479,0.011023370000000,S77
87,24125115,0.003604870000000,S79
88,23099884,0.003750270000000,S82
89,24126203,0.017019830000000,S83
90,24126509,0.015684800000000,W10 
91,24126487,0.018160000000000,W20 
92,24126441,0.000465110000000,U10 
93,24126427,0.012886930000000,U20 
94,24126399,0.000232550000000,U21 
95,24423347,0.020418150000000,C11 
96,24423347,0.020418150000000,C10 
97,24423347,0.020418150000000,C21 
98,24423347,0.020418150000000,Ct20 
99,24423347,0.020418150000000,Ct21 
100,24423347,0.020418150000000,C20 
101,24423879,0.125845760000000,J21
102,24125193,0.001961610000000,U23
103,24126441,0.000465110000000,U22
