FID,NHDPlusID,Slope,site_ID
0,55001000009400.000000000000000,0.018803180000000,S01
1,55001000040600.000000000000000,0.012760030000000,S02
2,55001000009500.000000000000000,0.028888890000000,S03
3,55001000001900.000000000000000,0.045537850000000,S04
4,55001000056700.000000000000000,0.016497170000000,S08
5,55001000057100.000000000000000,0.019044250000000,S10
6,55001000032200.000000000000000,0.010793520000000,S11
7,55001000048000.000000000000000,0.025704420000000,S12
8,55001000017600.000000000000000,0.034523810000000,S13
9,55001000049200.000000000000000,0.010663200000000,S14
10,55001000056900.000000000000000,0.070606810000000,S15
11,55001000040800.000000000000000,0.015847120000000,S16
12,55001000009700.000000000000000,0.008785470000000,S17
13,55001000057000.000000000000000,0.009154930000000,S18
14,55001000057600.000000000000000,0.001243010000000,S21
15,55001000012000.000000000000000,0.002481400000000,S22
16,55001000019100.000000000000000,0.002856580000000,S23
17,55001000025400.000000000000000,0.005950870000000,S24
18,55001000004600.000000000000000,0.013860530000000,S29
19,55001000021700.000000000000000,0.170560870000000,S30
20,55001000021800.000000000000000,0.009554970000000,S31
21,55001000014300.000000000000000,0.003011700000000,S32
22,55001000054400.000000000000000,0.000837790000000,S33
23,55001000030600.000000000000000,0.001354630000000,S34
24,55001000007200.000000000000000,0.001065690000000,S35
25,55001000054200.000000000000000,0.000931750000000,S36
26,55001000021300.000000000000000,0.019945160000000,S37
27,55001000060700.000000000000000,0.030766210000000,S38
28,55001000005400.000000000000000,0.011408450000000,S39
29,55001000037200.000000000000000,0.014210530000000,S40
30,55001000059700.000000000000000,0.012276660000000,S41
31,55001000003700.000000000000000,0.037160120000000,S42
32,55001000013000.000000000000000,0.007518190000000,S43
33,55001000019200.000000000000000,0.004848480000000,S44
34,55001000056500.000000000000000,0.015040960000000,S45
35,55001000055800.000000000000000,0.011452070000000,S46
36,55001000047700.000000000000000,0.030935250000000,S47
37,55001000024300.000000000000000,0.025538620000000,S48
38,55001000035500.000000000000000,0.036826530000000,S49
39,55001000021700.000000000000000,0.000949280000000,S50
40,55001000027700.000000000000000,0.001256040000000,S50P
41,55001000043500.000000000000000,0.010148810000000,S51
42,55001000001800.000000000000000,0.012866510000000,S52
43,55001000048800.000000000000000,0.067222740000000,S53
44,55001000034600.000000000000000,0.011749050000000,S54
45,55001000019900.000000000000000,0.017456480000000,S55
46,55001000021300.000000000000000,0.005299190000000,S56
47,55001000022000.000000000000000,0.005414350000000,S57
48,55001000013300.000000000000000,0.011059910000000,S58
49,55001000008600.000000000000000,0.053716430000000,S61
50,55001000047900.000000000000000,0.118927680000000,S62
51,55001000021400.000000000000000,0.015344640000000,S63
52,55001000061100.000000000000000,0.038194950000000,S63P
53,55001000002800.000000000000000,0.170977440000000,S64
54,55001000050800.000000000000000,0.129608620000000,S65
55,55001000040700.000000000000000,0.068580720000000,S66
56,55001000007200.000000000000000,0.003512350000000,T02
57,55001000014000.000000000000000,0.001536460000000,T03
58,55001000044200.000000000000000,0.005646170000000,T05
59,55001000057000.000000000000000,0.009476130000000,T05P
60,55001000040500.000000000000000,0.015790550000000,T06
61,55001000031400.000000000000000,0.000273790000000,T07
62,55001000036400.000000000000000,0.005806640000000,T41
63,55001000044200.000000000000000,0.005646170000000,T42
64,55001000017600.000000000000000,0.034523810000000,S13R
65,55001000009700.000000000000000,0.008785470000000,S17R
66,55001000057000.000000000000000,0.009154930000000,S18R
67,55001000019300.000000000000000,0.011285270000000,S19
68,55001000035300.000000000000000,0.010247330000000,S19E
69,55001000049600.000000000000000,0.003964050000000,S20R
70,55001000033600.000000000000000,0.002675850000000,S21R
71,55001000025400.000000000000000,0.005950870000000,S24R
72,55001000035100.000000000000000,0.011714000000000,S25
73,55001000051400.000000000000000,0.005349650000000,S26R
74,55001000048600.000000000000000,0.018708040000000,S27R
75,55001000060200.000000000000000,0.009738480000000,S28R
76,55001000020400.000000000000000,0.002448480000000,S28RE
77,55001000044100.000000000000000,0.047844160000000,S29R
78,55001000037300.000000000000000,0.005417100000000,S30R
79,55001000043500.000000000000000,0.009315790000000,S49R
80,55001000014000.000000000000000,0.001526160000000,S67
81,55001000053400.000000000000000,0.021155760000000,S68
82,55001000052400.000000000000000,0.012341770000000,S71
83,55001000031500.000000000000000,0.016641310000000,S72
84,55001000037300.000000000000000,0.000010000000000,S73
85,55001000029500.000000000000000,0.012375500000000,S75
86,55001000021300.000000000000000,0.009900520000000,S77
87,55001000037700.000000000000000,0.002477720000000,S79
88,55001000045400.000000000000000,0.003360330000000,S82
89,55001000032500.000000000000000,0.011704310000000,S83
90,55001000051600.000000000000000,0.014078010000000,W10 
91,55001000004900.000000000000000,0.009906540000000,W20 
92,55001000044400.000000000000000,0.018288290000000,U10 
93,55001000005400.000000000000000,0.004285710000000,U20 
94,55001000014000.000000000000000,0.001526160000000,U21 
95,55001000008300.000000000000000,0.021879800000000,C11 
96,55001000024100.000000000000000,0.018265010000000,C10 
97,55001000055800.000000000000000,0.011452070000000,C21 
98,55001000024100.000000000000000,0.018265010000000,Ct20 
99,55001000024100.000000000000000,0.018265010000000,Ct21 
100,55001000024100.000000000000000,0.018265010000000,C20 
101,55001000056500.000000000000000,0.095336490000000,J21
102,55001000053400.000000000000000,0.000010000000000,U23
103,55001000044400.000000000000000,0.018288290000000,U22
