COMID,ID,StreamOrder,site_ID,logtotco2g_per_m2
24423347,9,3,C10,3.75
24423879,9,1,J21,3.37
24422975,9,5,S02,4.69
24423139,9,2,S04,5.13
24422835,9,4,S08,4.53
24126011,9,3,S16,4.79
24125999,9,3,S17,5.01
24125873,9,5,S18,5.03
24125729,9,3,S19,4.36
24126059,9,5,S21,4.68
24126061,9,5,S21R,4.83
24125789,9,6,S23,4.73
24126823,9,2,S27R,3.62
23100392,9,4,S30,3.63
23099694,9,7,S33,1.54
23100242,9,5,S34,1.1
23100434,9,2,S39,3.37
24125037,9,6,S50,2.87
23099864,9,7,S57,4.09
24423847,9,1,S62,3.62
24125193,9,6,S67,4.07
24125421,9,6,S73,4.05
24131135,9,4,S75,3.37
23099884,9,4,S82,2.27
23099678,9,7,T02,1.6
23099844,9,7,T03,2.69
24422823,9,4,T05P,4.78
23107212,9,2,T07,0.77
24126401,9,3,U21,4.64
24422913,,3,T06,4.012729331
