"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","startDateTime","remark_cd_00681","result_va_00681","val_qual_tx_00681","meth_cd_00681","dqi_cd_00681","rpt_lev_va_00681","rpt_lev_cd_00681","lab_std_va_00681","prep_set_no_00681","prep_dt_00681","anl_set_no_00681","anl_dt_00681","result_lab_cm_tx_00681","anl_ent_cd_00681","month"
"USGS","12479500",1987-04-14,"12:20",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1987-04-14 12:20:00,NA,7,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12479500",1987-04-14,"12:25",NA,NA,"PDT","T","USGS-WRD","WS","474188801",NA,NA,NA,"9","9","9",NA,1987-04-14 12:25:00,NA,2.5,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12479500",1987-04-14,"12:30",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1987-04-14 12:30:00,NA,3,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12479500",1987-04-14,"12:35",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1987-04-14 12:35:00,NA,9.3,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12479500",1987-04-14,"12:40",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1987-04-14 12:40:00,NA,1.7,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12479500",1987-04-30,"10:30",NA,NA,"PDT","T","USGS-WRD","WS","474188801",NA,NA,NA,"9","9","9",NA,1987-04-30 10:30:00,NA,1.5,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12479500",1987-06-11,"10:30",NA,NA,"PDT","T","USGS-WRD","WS","474188801",NA,NA,NA,"9","9","9",NA,1987-06-11 10:30:00,NA,1.7,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"USGS","12479500",1987-07-14,"10:00",NA,NA,"PDT","T","USGS-WRD","WS","474188801",NA,NA,NA,"9","9","9",NA,1987-07-14 10:00:00,NA,1.5,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"USGS","12479500",1987-09-08,"10:00",NA,NA,"PDT","T","USGS-WRD","WS","474100490",NA,NA,NA,"9","9","9",NA,1987-09-08 10:00:00,NA,1.7,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"USGS","12479500",1987-11-10,"10:00",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1987-11-10 10:00:00,NA,1.1,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"USGS","12479500",1987-12-07,"09:30",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1987-12-07 09:30:00,NA,1.3,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"USGS","12479500",1988-01-12,"10:00",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-01-12 10:00:00,NA,1,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"USGS","12479500",1988-02-09,"10:00",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-02-09 10:00:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"USGS","12479500",1988-04-12,"09:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-04-12 09:00:00,NA,2.1,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12479500",1988-04-16,"12:15",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-04-16 12:15:00,NA,1.6,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12479500",1988-05-10,"09:30",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-05-10 09:30:00,NA,1.3,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"USGS","12479500",1988-06-14,"10:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-06-14 10:00:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"USGS","12479500",1988-07-12,"11:30",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-07-12 11:30:00,NA,1.4,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"USGS","12479500",1988-07-26,"15:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,1988-07-26 15:00:00,NA,1.8,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"USGS","12479500",1988-08-09,"11:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-08-09 11:00:00,NA,1.9,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"USGS","12479500",1988-09-13,"09:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-09-13 09:00:00,NA,0.9,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
