"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","tz_cd","remark_cd_00300","result_va_00300","val_qual_tx_00300","meth_cd_00300","dqi_cd_00300","rpt_lev_va_00300","rpt_lev_cd_00300","lab_std_va_00300","prep_set_no_00300","prep_dt_00300","anl_set_no_00300","anl_dt_00300","result_lab_cm_tx_00300","anl_ent_cd_00300"
"USGS","12505450",2008-08-05,"10:10",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","9","9",NA,"PDT","PDT",2008-08-05 17:10:00,"UTC",NA,7.7,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD"
"USGS","12505450",2009-10-20,"10:40",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","9","9","A-2940007 Attention: Charlie Patton TPCN Vol filtered = 25mLs filtered","PDT","PDT",2009-10-20 17:40:00,"UTC",NA,10.4,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD"
"USGS","12505450",2009-11-19,"11:00",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","9","9","A-3240180 Attention: Charlie Patton TPCN Vol filtered = 50mLs per filter","PST","PST",2009-11-19 19:00:00,"UTC",NA,9.8,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD"
"USGS","12505450",2009-12-15,"11:40",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","9","9","A-3510169 Attention: Charlie Patton TPCN Vol filtered = 50mLs per filter","PST","PST",2009-12-15 19:40:00,"UTC",NA,10.1,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-WRD"
"USGS","12505450",2010-01-20,"10:50",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","9","9","A-0210092 Attention: Charlie Patton TPCN vol filtered = 50mLs per filter","PST","PST",2010-01-20 18:50:00,"UTC",NA,8.4,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12505450",2010-02-23,"10:30",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","9","9","A-0550072 Attention: Charlie Patton TPCN. Vol filtered = 50mLs per filter","PST","PST",2010-02-23 18:30:00,"UTC",NA,10,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12505450",2010-03-15,"10:20",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","9","9","A-0750170 Attention: Charlie Patton TPCN Vol filtered = 50mLs per filter","PDT","PDT",2010-03-15 17:20:00,"UTC",NA,9.9,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12505450",2010-04-19,"11:30",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","9","9","A-1100072 Attention: Charlie Patton TPCN Volume filtered = 25mLs per filter.","PDT","PDT",2010-04-19 18:30:00,"UTC",NA,10.1,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12505450",2010-05-03,"10:10",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","7","9","A-1250081 Attention: Charlie Patton TPCN vol filtered = 15mLs/filter","PDT","PDT",2010-05-03 17:10:00,"UTC",NA,9.7,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12505450",2010-05-17,"10:40",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","7","9","A-1380048 Attention: Charlie Patton TPCN. Vol filtered = 15mLs per filter.","PDT","PDT",2010-05-17 17:40:00,"UTC",NA,8.7,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12505450",2010-05-24,"11:40",NA,NA,"K","USGS-WRD","WS","9722CRMCC",NA,NA,NA,"9","9","9","A-1450108 Attention: Charlie Patton TPCN. Vol filtered = 15mLs per filter","PDT","PDT",2010-05-24 18:40:00,"UTC",NA,10.2,NA,"MEMBR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
