"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","tz_cd","remark_cd_00618","result_va_00618","val_qual_tx_00618","meth_cd_00618","dqi_cd_00618","rpt_lev_va_00618","rpt_lev_cd_00618","lab_std_va_00618","prep_set_no_00618","prep_dt_00618","anl_set_no_00618","anl_dt_00618","result_lab_cm_tx_00618","anl_ent_cd_00618"
"USGS","12479500",1990-10-26,"10:15",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"PDT","PDT",1990-10-26 17:15:00,"UTC","<",0.1,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12479500",1991-02-20,"15:22",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"PST","PST",1991-02-20 23:22:00,"UTC","<",0.1,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12479500",1999-08-02,"13:00",NA,NA,"T","USGS-WRD","WS","474116900",NA,NA,NA,"9","9","9",NA,"PDT","PDT",1999-08-02 20:00:00,"UTC",NA,0.104,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12484500",1990-10-25,"14:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"PDT","PDT",1990-10-25 21:00:00,"UTC",NA,0.19,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12484500",1991-02-20,"12:50",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"PST","PST",1991-02-20 20:50:00,"UTC","<",0.1,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12484500",1999-08-02,"18:40",NA,NA,"T","USGS-WRD","WS","474116900",NA,NA,NA,"9","9","9","L-2160076 NSMPs due to missing FU per district and original ASR, see 'dist/qc comm', paa, 8/6/99","PDT","PDT",1999-08-03 01:40:00,"UTC",NA,0.228,NA,"ALGOR","R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12489500",1962-11-28,NA,NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"PST","PST",NA,"UTC",NA,0.023,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12489500",1962-12-19,NA,NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"PST","PST",NA,"UTC",NA,0.045,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12489500",1963-02-06,NA,NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"PST","PST",NA,"UTC",NA,0.068,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12489500",1963-03-01,NA,NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"PST","PST",NA,"UTC",NA,0.023,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12489500",1963-03-20,NA,NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"PST","PST",NA,"UTC",NA,0.023,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12489500",1963-04-25,NA,NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"PST","PST",NA,"UTC",NA,0.045,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12489500",1963-06-13,NA,NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"PST","PST",NA,"UTC",NA,0.023,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","12489500",1963-08-27,NA,NA,NA,"T",NA,"WS",NA,NA,NA,NA,"A","9","9",NA,"PST","PST",NA,"UTC",NA,0.023,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA
